Enlem,Boylam,Cluster,Restoran Çeşidi
41.0191026,28.957953,Ucuz Restoran,Tekne-Event Hall-Catering
40.9650512,29.0720682,Orta Halli Restoran,Modern Pub & Bistro
40.98879597,29.02450808,Ucuz Restoran,Geleneksel Meyhane
40.9891074,29.0281043,Ucuz Restoran,Modern Pub & Bistro
40.9651406,29.0884315,Zengin Restoran,Pub & Bistro & Kokteyl Bar
40.9980243,29.0997775,Orta Halli Restoran,Modern Pub & Bistro
40.9855701,29.1006379,Orta Halli Restoran,Modern Pub & Bistro
40.96463821,29.07332479,Orta Halli Restoran,Modern Pub & Bistro
40.99415281,29.11031373,Orta Halli Restoran,Modern Pub & Bistro
40.9984082,29.0999834,Orta Halli Restoran,Modern Pub & Bistro
40.9902554,29.0253911,Orta Halli Restoran,Balık
40.9937287,29.1228661,Orta Halli Restoran,Modern Pub & Bistro
40.989237,29.0282127,Ucuz Restoran,Geleneksel Meyhane
41.0263634,29.1286955,Orta Halli Restoran,Modern Pub & Bistro
40.96688026,29.06773643,Orta Halli Restoran,Modern Pub & Bistro
40.95795004,29.08185923,Orta Halli Restoran,Pub & Bistro & Kokteyl Bar
40.9697692,29.05331426,Orta Halli Restoran,Askeri Birlik-Sosyal Tesis
40.96484978,29.07149691,Orta Halli Restoran,Pub & Bistro & Kokteyl Bar
40.9734073,29.0984399,Zengin Restoran,Kebap
41.054384,29.052033,Zengin Restoran,Balık
41.0444681,29.0438796,Zengin Restoran,Balık
40.9762786,29.0406828,Zengin Restoran,Balık
41.0036086,29.0708377,Orta Halli Restoran,Modern Pub & Bistro
40.9764706,29.0396014,Zengin Restoran,Kebap
40.9750052,29.0468359,Zengin Restoran,Kebap
40.9864332,29.1037979,Orta Halli Restoran,Kebap
41.0680246,29.0058102,Orta Halli Restoran,Modern Pub & Bistro
40.9955166,29.1071783,Orta Halli Restoran,Kebap
40.9595084,29.07301,Zengin Restoran,Kebap
40.9672799,29.0652276,Orta Halli Restoran,Pub & Bistro & Kokteyl Bar
40.9763135,29.040666,Orta Halli Restoran,Modern Pub & Bistro
41.0323431,29.0402431,Zengin Restoran,Kebap
40.967289,29.065869,Orta Halli Restoran,Fine Dining (D.Mutf-Şar.Evi)
40.9672467,29.0634616,Orta Halli Restoran,Kebap
40.964967,29.072581,Orta Halli Restoran,Modern Pub & Bistro
40.9593499,29.0844223,Zengin Restoran,Modern Pub & Bistro
40.9585258,29.0849589,Zengin Restoran,Fine Dining (D.Mutf-Şar.Evi)
40.9523258,29.0969059,Zengin Restoran,Kebap
40.9675888,29.066129,Zengin Restoran,Kebap
40.9791697,29.0233848,Zengin Restoran,Askeri Birlik-Sosyal Tesis
40.9634236,29.0770693,Orta Halli Restoran,Modern Pub & Bistro
40.9874166,29.1188738,Zengin Restoran,Balık
40.9999627,29.1432002,Orta Halli Restoran,Kebap
40.9718,29.0475,Zengin Restoran,Balık
