Tipi,ilce,Mahalle,Cluster,lat,lng
Muayenehane,ATAŞEHİR,ATATÜRK,A,40.9919815,29.1184653
Muayenehane,ATAŞEHİR,ATATÜRK,A,40.9882500,29.1380751
Muayenehane,ATAŞEHİR,ATATÜRK,A,40.9901821,29.1430947
Muayenehane,ATAŞEHİR,ATATÜRK,A,40.9882500,29.1380751
Ev Hayvanı Satış Yeri,ATAŞEHİR,BARBAROS,A,40.9852665,29.0998065
Muayenehane,ATAŞEHİR,BARBAROS,A,40.9984645,29.0977021
Muayenehane,ATAŞEHİR,BARBAROS,A,40.9939749,29.1226758
Muayenehane,ATAŞEHİR,ESAT PAŞA,C,40.9893257,29.1408745
Muayenehane,ATAŞEHİR,ESAT PAŞA,C,41.0053964,29.0836228
Muayenehane,ATAŞEHİR,ESAT PAŞA,C,41.0053964,29.0836228
Ev Hayvanı Satış Yeri,ATAŞEHİR,İÇERENKÖY,A,40.9764433,29.1140296
Ev Hayvanı Satış Yeri,ATAŞEHİR,İÇERENKÖY,A,40.9681413,29.1145124
Ev Hayvanı Satış Yeri,ATAŞEHİR,İÇERENKÖY,A,40.9729124,29.1136140
Muayenehane,ATAŞEHİR,İÇERENKÖY,A,40.9757435,29.1119698
Muayenehane,ATAŞEHİR,İÇERENKÖY,A,40.9738910,29.1113330
Muayenehane,ATAŞEHİR,İÇERENKÖY,A,40.9744094,29.1028651
Muayenehane,ATAŞEHİR,İÇERENKÖY,A,40.9713179,29.1175000
Muayenehane,ATAŞEHİR,İÇERENKÖY,A,40.9702345,29.1079307
Muayenehane,ATAŞEHİR,İNÖNÜ,C,40.9771274,29.1290221
Muayenehane,ATAŞEHİR,İNÖNÜ,C,40.9760892,29.1445828
Ev Hayvanı Satış Yeri,ATAŞEHİR,KAYIŞDAĞI,C,40.9802662,29.1422783
Ev Hayvanı Satış Yeri,ATAŞEHİR,KAYIŞDAĞI,C,40.9820976,29.1403103
Ev Hayvanı Satış Yeri,ATAŞEHİR,KAYIŞDAĞI,C,40.9801319,29.1518764
Ev Hayvanı Satış Yeri,ATAŞEHİR,KÜÇÜKBAKKALKÖY,A,40.9807177,29.1123787
Hayvan Hastanesi,ATAŞEHİR,KÜÇÜKBAKKALKÖY,A,40.9817382,29.1201640
