isim,latitude,longitude
Arabica Coffee House Nev Çarşı,41.0205612,29.0195989
Arabicano Coffee,41.0716563,29.0606866
Best Coffee Shop Lavazza,40.9875706,29.0834358
Best Coffee Shop Lavazza,40.975549,29.0973478
Big Chef kahvaltı deniz manzaralı,40.9803687,29.0258854
Big Chefs - Capitol AVMŞubesi,41.0208292,29.0398489
Big Chefs - Moda TerasŞubesi,40.9807104,29.02568339999990
Big Chefs - Palladium AVMŞubesi,40.98769009999990,29.1005848
Big Chefs - Tepe NautilusŞubesi,41.00017,29.032299
Big Chefs -İstanbul Watergarden AVMŞubesi,40.99795719999990,29.0997386
Big Chefs -Şerifali QuattroŞubesi,41.0019646,29.1404516
BigChefs,40.9943106,29.1240121
BigChefs Emaar Square Mall,41.0037283,29.0708797
BigChefs Fenerbahçe,40.9705112,29.0385752
BigChefs Suadiye,40.9562871,29.089683
Brew Crew Coffee,40.9845377,29.0525696
Cafe nero,40.9679444,29.0655
Caffe Nero,40.9879121,29.1038508
Caffe Nero,40.9731656,29.055938
Caffe Nero,40.9949368,29.0614657
Caffe Nero,40.9806961,29.0238035
Caffe Nero,40.9523624,29.0925516
Caffe Nero,40.9864913,29.0279673
Caffe Nero,40.9653998,29.0633007
Caffe Nero,41.0029391,29.0714068
Caffe Nero,41.02508599999990,29.129205
Caffe Nero,41.0023337,29.0694192
Caffe Nero,40.9950109,28.9308481
Caffe Nero,41.0318426,29.0384789
Caffe Nero,41.0315039,29.1119086
Caffe Nero,41.00017,29.032299
Caffe Nero,40.9902395,29.14302769999990
Caffe Nero,40.9928031,29.1251136
Caffe Nero,41.0206906,29.0390583
Caffe Nero,40.995962,29.0558499
Caffe Nero,41.0094418,28.78666419999990
Caffe Nero,40.9636198,29.0742561
Caribou Coffee,41.0013454,29.05536069999990
Caribou Coffee,40.9861122,29.0988774
Caribou Coffee,41.0231674,29.070722
Caribou Coffee,41.0239809,29.1262726
Caribou Coffee And Plaza,40.9729663,29.1015804
Caribou Coffee Head Office,40.9765276,29.103101
Caribou Coffee Kalamış By Kököz,40.98159769999990,29.03757269999990
CARİBOU COFFEE METROGARDEN AVM,41.0156444,29.1788929
Coffee Beans,40.9952187,29.05817889999990
Coffee LAB Caddebostan,40.9651713,29.06554029999990
Coffee Sapiens Caddebostan,40.9677852,29.0633465
Coffee Truck,41.012649,29.1938358
Coffee World - Optimum Istanbul,40.988459,29.085866
Coffeemania,40.987857,29.0448887
Coffeemania,40.9914402,29.0376579
Coffeemania Next | Metrogarden,41.0159821,29.1789072
Cup of Joy - Bagdat caddesi,40.9662598,29.0687982
Espresso Lab,41.0258098,29.09131929999990
Espressolab,40.98790899999990,29.0541727
Espressolab Acıbadem,41.01019429999990,29.0518319
Espressolab Ataşehir Golfclub,40.990355,29.1430749
Espressolab Bağdat Caddesi,40.9665997,29.06826909999990
Espressolab Bostancı,40.9549119,29.0981264
Espressolab Caddebostan,40.9638074,29.066035
Espressolab Çengelköy,41.0510485,29.0517502
Espressolab Çiftehavuzlar,40.9741078,29.055466
Espressolab Erenköy,40.971864,29.0836199
Espressolab Erenköy Ethemefendi,40.9725886,29.07429329999990
Espressolab Fikirtepe,40.9953987,29.0555559
Espressolab Kadıköy,40.9904459,29.0237651
Espressolab Kadıköy Moda,40.9798631,29.0247983
Espressolab Koşuyolu,41.0096065,29.0413371
Espressolab Kozyatağı,40.9853417,29.0423494
Espressolab Nato Yolu,41.0485587,29.0767062
Espressolab Nev Çarşı Üsküdar,41.0203764,29.0220403
Espressolab Sahrayıcedit,40.9811882,29.0898935
Espressolab Suadiye,40.96356,29.0857188
Espressolab Ümraniye Alemdağ,41.025377,29.0918476
Espressolab Üsküdar Gastronomi,41.0241237,29.0146489
Espressolab Üsküdarİcadiye,41.0251533,29.0357435
Espressolab Watergarden AVM,40.9980684,29.09976619999990
EspressolabŞerifali,41.00500479999990,29.13210979999990
Gloria Jeans,40.9905708,29.076947
Gloria Jeans,41.0038537,29.071135
Gloria Jeans,41.0489773,29.0767434
Gloria Jeans,40.959302,29.0821346
Gloria Jean's,40.9853548,29.0996322
Gloria Jean's,40.9824162,29.0712412
Gloria Jeans Coffee Fikirtepe,40.9955417,29.0521819
Gloria Jean's Coffees,40.9985142,29.0987317
Gloria Jean's Coffees,41.021017,29.0395631
Gloria Jean's Coffees,40.9703542,29.0384094
Gloria Jeans Coffees Emaar,41.0038536,29.071135
Gloria Jean's Coffees Idealist Park,41.0147738,29.18106269999990
Gloria Jean's Coffees Marmara University,40.9843904,29.0533069
Gloria Jean's Coffees Sahrayicedit,40.9809175,29.0888338
Gloria Jean's Coffees Ümraniye,41.02572809999990,29.0949868
Gloria Jean's-şaşkınbakkal,40.961765,29.077871
Kahve Dünyası,40.9697086,29.0917837
Kahve Dünyası,40.992144,29.1267202
Kahve Dünyası,40.993867,29.1213974
Kahve Dünyası,40.9984656,29.0993519
Kahve Dünyası - Acıbadem,41.008827,29.0507417
Kahve Dünyası - Akasya Acıbadem AVM,41.0006691,29.0545749
Kahve Dünyası - Ataşehir WaterGarden,40.9964156,29.099616
Kahve Dünyası - Bağdat Caddesi Beyaz Köşk,40.9606664,29.0801383
Kahve Dünyası - Bostancı,40.9594381,29.0950851
Kahve Dünyası - Buyaka AVM,41.0262411,29.1269522
Kahve Dünyası - Caddebostan,40.9676237,29.0652028
Kahve Dünyası - Canpark AVM,41.0246486,29.1069997
Kahve Dünyası - Emaar Square AVM,41.0031865,29.0713939
Kahve Dünyası - Göztepe,40.97177600000000,29.059857
Kahve Dünyası - Kadıköy Çarşı,40.9908847,29.0248854
Kahve Dünyası - Koşuyolu,41.00976920000000,29.0415733
Kahve Dünyası - Meydan AVM,41.0240711,29.1260183
Kahve Dünyası - Moda,40.9806296,29.0235799
Kahve Dünyası - Nevçarşı AVM,41.0203043,29.0206676
Kahve Dünyası - Palladium Ataşehir,40.9857579,29.1001949
Kahve Dünyası - Suadiye,40.9570065,29.087047
Kahve Dünyası - Ziverbey,40.98433,29.0552625
Kahve Dünyası Algötür - Caddebostan,40.9641174,29.065537
Kahve Dünyası Algötür - Capitol AVM,41.0209117,29.0385183
Kahve Dünyası Algötür - Kadıköy Vapurİskelesi,40.9925997,29.0233994
Kronotrop,40.9941176,29.1241709
Kronotrop Ayşeçavuş Suadiye,40.9647862,29.0865022
Kronotrop Caddebostan Grove,40.9694073,29.0661387
Kronotrop Emaar Square,41.0029816,29.071531
Kronotrop Feneryolu Eatery,40.9732748,29.0486611
Kronotrop Moda,40.9860333,29.0257453
Kronotrop Moda Eatery,40.983157,29.0238306
Lavazza,41.0092435,29.0806757
Lavazza,40.9910575,29.1057367
Lavazza,41.0000144,29.0325588
Lavazza,41.0305891,29.1065237
Lavazza,40.9565938,29.0880106
Lavazza Best Coffee Shop,40.9816619,29.1026259
Lavazza Çengelköy,41.0490328,29.0767466
lavazza huawei,41.0284913,29.1173314
Meet Coffee Lab,40.9568033,29.0803847
Meet Lab Coffee,40.965998,29.06827179999990
Meet Lab Coffee,40.9616517,29.0789371
Meet Lab Coffee,40.9808146,29.0902791
Meet Lab Coffee,40.9842635,29.0261469
MOC MEYDANİSTANBUL,41.0245179,29.1268497
MOC Üsküdar,41.0246022,29.012656
Robert's Coffee,40.8984528,29.1706808
Robert's Coffee,41.01012009999990,29.1362941
Robert's Coffee,40.988037,29.085871
Robert's Coffee,40.9569096,29.0807844
Robert's Coffee,41.0235118,29.0079307
Robert's Coffee,41.006818,29.1581351
Robert's Coffee Ataşehir,40.9937844,29.119114
Robert's Coffee Genel Müdürlük,40.9917215,29.115563
Starbucks,40.9808205,29.0893532
Starbucks,40.9657888,29.08789429999990
Starbucks,40.978447,29.1102595
Starbucks,40.960057,29.0818588
Starbucks,40.963961,29.075057
Starbucks,40.9529419,29.0948858
Starbucks,40.9903597,29.0237876
Starbucks,40.9651178,29.0661449
Starbucks,40.9731419,29.0570546
Starbucks,40.97395179999990,29.0486292
Starbucks,40.9861728,29.118839
Starbucks,40.9788457,29.1009734
Starbucks,40.978361,29.117034
Starbucks,40.9902495,29.14088259999990
Starbucks,40.985828,29.099743
Starbucks,40.9778774,29.1385585
Starbucks,40.98426,29.107074
Starbucks,40.9926422,29.12507
Starbucks,40.9882848,29.08605619999990
Starbucks,40.9986122,29.0999007
Starbucks,40.9911332,29.1361014
Starbucks,40.9739967,29.0982068
Starbucks,40.9944684,29.1104048
Starbucks,40.99157340000000,29.1045752
Starbucks,40.9710453,29.0841833
Starbucks,40.9933395,29.1198306
Starbucks,40.9973664,29.13988389999990
Starbucks,40.981855,29.132274
Starbucks,41.0087931,29.1352394
Starbucks,40.9891696,29.0286911
Starbucks,41.00939839999990,29.0403725
Starbucks,41.0234473,29.11359049999990
Starbucks,41.0023337,29.0694192
Starbucks,40.9567235,29.0801309
Starbucks,41.0051916,29.068808
Starbucks,41.0263272,29.1286767
Starbucks,40.9805556,29.0236557
Starbucks,41.0012055,29.0557135
Starbucks,41.0033156,29.0712873
Starbucks,40.9952334,29.0569754
Starbucks,41.0103835,29.0519994
Starbucks,41.0250387,29.1066022
Starbucks,40.999507,29.039035
Starbucks,41.0116478,29.0389517
Starbucks,41.0058566,29.0371224
Starbucks,41.0155583,29.1784933
Starbucks,41.0415458,29.0774993
Starbucks,41.02006799999990,29.020249
Starbucks,41.0233186,29.1156578
Starbucks,40.9069984,29.1605996
Starbucks,41.030444,29.1105806
Starbucks,41.03188550000000,29.109577
Starbucks,41.0112951,29.1796697
Starbucks,41.0239081,29.0419114
Starbucks,41.0236672,29.0175782
Starbucks,41.0000288,29.0316625
Starbucks Bostancı Minibüs Yolu,40.9597439,29.0949327
Starbucks Goztepe Loft,40.9792774,29.0672306
Tchibo,40.990381,29.110038
Tchibo,40.9791664,29.100042
Tchibo,40.990849,29.0265773
Tchibo,41.0210455,29.03974329999990
Tchibo Buyaka AVM,41.0265239,29.1283262
Tchibo Caddebostan,40.9679693,29.0658807
Tchibo Canpark AVM,41.0246976,29.1061612
Tchibo Coffee To Go,40.9833261,29.11383
Tchibo Coffee To Go,40.9815301,29.0686038
Tchibo Coffee To Go,41.0184401,29.0846323
Tchibo Coffee To Go,41.01898569999990,29.0822844
Tchibo Coffee To Go,41.00686049999990,29.0249977
Tchibo Kadıköy,40.9901078,29.02406079999990
Tchibo Kadıköy Bahariye,40.9873926,29.0285637
Tchibo Kahve Mamulleri,40.9895664,29.1057198
Tchibo Koşuyolu,41.011559,29.0384443
Tchibo Kozzy AVM,40.9693387,29.0918029
Tchibo My Office,40.9907262,29.1013003
Tchibo Palladium AVM,40.9858227,29.1001493
Tchibo Tepe Nautilus,40.9996912,29.0318089
The House Cafe Emaar,41.0036494,29.0714665
Coffy,40.9958882,29.0695808
Coffy,40.9818723,29.057608
Coffy Kadikoy,40.99004679999990,29.0244025
Coffy Kazasker,40.972587,29.08328029999990
Coffy Ümraniye Madenler,41.0145004,29.1807999
Coffy Ümraniye Merkez,41.0260723,29.0921165
Halitağa Coffy,40.9912169,29.0281947
İstanbul Bahariye Coffy,40.9876109,29.0258145
İstanbul Caddebostan Coffy,40.9666881,29.06820609999990
Kadıköy Boğa Coffy,40.990141,29.0289
Kadıköy Moda Coffy,40.9844771,29.0268373
Üsküdar Coffy,41.0250764,29.0191241
